NAME,OTHERNAME,PLANETDISCMETH,DATE,MSINI,I,R,A,PER,ECC,STAR,V,VURL,VREF,DIST,MSTAR,RSTAR,TEFF,LOGG,FE
,,,,mjupiter,deg,rjupiter,au,day,,,,,,pc,msun,rsun,k,,
KOI 3394.01,KIC 7748487,,,,88.27,0.15969337828063837,0.1286,15.5764061,0,KOI 3394,,,,,1.169,1.076,6214,4.442,0.07
KOI 3395.01,KIC 3219037,,,,89.61,0.09902773736955787,0.0873,10.00506974,0,KOI 3395,,,,,0.884,0.924,5912,4.453,-0.38
KOI 3396.01,KIC 5710069,,,,88.52,0.16236980361495074,0.2101,36.2580749,0,KOI 3396,,,,,0.937,0.848,5818,4.554,-0.22
KOI 3462.01,KIC 9967009,,,,88.99,0.16772265428357547,0.102,12.4326997,0,KOI 3462,,,,,0.914,1.229,5480,4.22,0.14
KOI 3462.02,KIC 9967009,,,,89.03,0.1971633329610116,0.1875,30.9902997,0,KOI 3462,,,,,0.914,1.229,5480,4.22,0.14
KOI 3397.01,KIC 6200810,,,,89.98,0.20965331785446936,0.2283,35.8754482,0,KOI 3397,,,,,1.235,1.218,6559,4.357,-0.04
KOI 3398.02,KIC 3561464,,,,89.93,0.7110369971489875,0.2588,35.8007112,0,KOI 3398,,,,,1.801,3.955,5745,3.499,0.4
KOI 3398.03,KIC 3561464,,,,89.83,0.31938675656127674,0.0633,4.32710579,0,KOI 3398,,,,,1.801,3.955,5745,3.499,0.4
KOI 3469.01,KIC 4844470,,,,89.33,0.17039907961788786,0.2961,60.532988,0,KOI 3469,,,,,0.946,0.847,5631,4.557,-0.06
KOI 1781.03,KIC 11551692,,,,88.47,0.3086810552240272,0.2711,58.0198583,0,KOI 1781,,,,,0.822,0.72,4920,4.62,0.07
KOI 3470.01,KIC 9995771,,,,89.64,0.14363482627476412,0.1204,15.0617835,0,KOI 3470,,,,,1.024,1.158,5806,4.321,0.14
KOI 3401.01,KIC 9966219,,,,80.55,0.17485978850840847,0.1317,17.9559673,0,KOI 3401,,,,,0.944,1.195,5641,4.258,0.07
KOI 1681.02,KIC 5531953,,,,55.11,0.607548550888909,0.0238,1.992812339,0,KOI 1681,,,,,0.45,0.42,3638,4.844,-0.14
KOI 7773.01,KIC 6231721,,,,88.45,0.092782744922829,0.0363,2.69339974,0,KOI 7773,,,,,0.88,0.863,5355,4.511,0.07
KOI 3472.01,KIC 9536108,,,,89.57,0.10170416270387023,0.0962,10.43003118,0,KOI 3472,,,,,1.085,1.031,6277,4.449,-0.18
KOI 3473.01,KIC 8905246,,,,89.6,0.6209306775604709,0.193,27.63714708,0,KOI 3473,,,,,1.254,2.427,5214,3.766,0.06
KOI 3474.01,KIC 5213230,,,,89.88,0.16326194539305486,0.2846,52.6095103,0,KOI 3474,,,,,1.109,1.294,5881,4.259,0.16
KOI 7729.01,KIC 5460434,,,,89.03,0.1400662591623476,0.3102,50.563697,0,KOI 7729,,,,,1.552,2.022,6759,4.018,0.12
KOI 3335.01,KIC 10922659,,,,89.98,0.2043004671858446,0.2053,31.2543238,0,KOI 3335,,,,,1.18,1.092,6246,4.433,0.07
KOI 1525.02,KIC 7869917,,,,84.28,0.25604469031588384,0.1216,11.8061737,0,KOI 1525,,,,,1.714,2.599,6900,3.843,0
KOI 3403.02,KIC 11754430,,,,84.39,0.10705701337249499,0.0658,6.15828666,0,KOI 3403,,,,,1.003,1.524,5710,4.073,0
KOI 3408.01,KIC 11922778,,,,90,0.1472033933871806,0.3178,65.427645,0,KOI 3408,,,,,0.998,0.926,6014,4.504,-0.2
KOI 1788.02,KIC 2975770,,,,89.76,0.27388752587796633,0.9231,369.069345,0,KOI 1788,,,,,0.769,0.778,4855,4.542,0.12
KOI 1833.02,KIC 11853878,,,,86.87,0.23017257875086425,0.0634,7.68433346,0,KOI 1833,,,,,0.575,0.572,4402,4.682,-0.58
KOI 3337.01,KIC 7692093,,,,89.6,0.13917411738424348,0.0955,11.16622885,0,KOI 3337,,,,,0.931,0.836,5552,4.562,-0.04
KOI 3339.01,KIC 7772914,,,,87.03,0.22749615341655183,0.1453,23.1334494,0,KOI 3339,,,,,0.763,0.932,5712,4.382,-0.52
KOI 3340.01,KIC 3529290,,,,86.49,0.07493990936074649,0.0823,8.9539656,0,KOI 3340,,,,,0.925,0.947,6168,4.452,-0.5
KOI 3340.02,KIC 3529290,,,,86.81,0.09456702847903725,0.1094,13.7281373,0,KOI 3340,,,,,0.925,0.947,6168,4.452,-0.5
KOI 3411.01,KIC 6025124,,,,89.33,1.1312357746360304,0.1845,26.83771808,0,KOI 3411,,,,,1.161,1.069,6194,4.445,0.07
KOI 1681.03,KIC 5531953,,,,69.5,0.9465624265684764,0.0348,3.53105835,0,KOI 1681,,,,,0.45,0.42,3638,4.844,-0.14
KOI 7774.01,KIC 6277410,,,,89.7,0.10170416270387023,0.0647,6.32589574,0,KOI 7774,,,,,0.907,0.818,5749,4.568,-0.28
KOI 3480.01,KIC 9843517,,,,89.9,0.10259630448197436,0.0954,11.9378354,0,KOI 3480,,,,,0.826,0.738,5469,4.611,-0.38
KOI 3481.01,KIC 8812045,,,,89.37,0.32830817434231796,0.233,32.715906,0,KOI 3481,,,,,1.574,3.192,5527,3.627,0.16
KOI 3482.01,KIC 7288444,,,,86.55,0.17039907961788786,0.1216,15.3317719,0,KOI 3482,,,,,1.018,1.285,5726,4.228,0.16
KOI 3483.01,KIC 3101923,,,,89.98,0.185565489845658,0.3864,82.331756,0,KOI 3483,,,,,1.135,1.242,5997,4.304,0.16
KOI 3341.01,KIC 5621333,,,,87.3,0.1900261987361786,0.179,27.0965146,0,KOI 3341,,,,,1.038,1.352,5775,4.193,0.14
KOI 3341.02,KIC 5621333,,,,87.56,0.13203698315941048,0.1014,11.5474983,0,KOI 3341,,,,,1.038,1.352,5775,4.193,0.14
KOI 3343.01,KIC 3236705,,,,89.99,0.25782897387209214,0.3654,83.2664103,0,KOI 3343,,,,,0.937,1.18,5538,4.266,0.16
KOI 3344.01,KIC 11810124,,,,89.74,0.16772265428357547,0.0981,11.6044881,0,KOI 3344,,,,,0.934,1.166,5533,4.275,0.16
KOI 3416.01,KIC 2849140,,,,84.89,0.11151772226301562,0.0978,11.8237228,0,KOI 3416,,,,,0.899,0.803,5559,4.578,-0.18
KOI 3486.01,KIC 8121328,,,,72.95,0.14541910983097237,0.129,19.0689513,0,KOI 3486,,,,,0.788,0.889,5418,4.436,-0.2
KOI 7759.01,KIC 6043538,,,,85.04,0.17129122139599198,0.0694,6.2253374,0,KOI 7759,,,,,1.147,1.726,6263,4.024,-0.18
KOI 3347.01,KIC 8824737,,,,89.42,0.1329291249375146,0.103,12.90235874,0,KOI 3347,,,,,0.882,0.788,5530,4.586,-0.22
KOI 3420.02,KIC 7289338,,,,88.91,0.199839758295324,0.1085,12.5014905,0,KOI 3420,,,,,1.088,1.492,5821,4.127,0.16
KOI 3421.01,KIC 5004909,,,,88.1,0.15166410227770125,0.249,40.6511021,0,KOI 3421,,,,,1.247,1.369,6297,4.26,0.14
KOI 7775.01,KIC 6278670,,,,89.97,0.3086810552240272,0.3781,89.945828,0,KOI 7775,,,,,0.891,1.924,5115,3.819,-0.24
KOI 3422.01,KIC 5898983,,,,89.46,1.1606764533134666,0.3196,40.1454757,0,KOI 3422,,,,,2.697,7.162,7852,3.159,-0.5
KOI 7733.01,KIC 5617259,,,,81.92,0.4032480837030644,0.0246,1.048130894,0,KOI 7733,,,,,1.799,3.214,7673,3.679,-0.36
KOI 3493.01,KIC 8880123,,,,89.68,0.18110478095513735,0.2588,46.7162336,0,KOI 3493,,,,,1.057,1.092,5856,4.386,0.16
KOI 3495.01,KIC 9474756,,,,84.25,0.1534483858339095,0.1342,17.6062701,0,KOI 3495,,,,,1.038,1.159,5808,4.326,0.16
KOI 1562.02,KIC 5308663,,,,87.09,0.20073190007342812,0.1442,20.0679247,0,KOI 1562,,,,,0.991,0.904,5997,4.522,-0.22
KOI 3423.01,KIC 3745559,,,,89.94,0.24979969786915496,0.2043,30.2541186,0,KOI 3423,,,,,1.239,1.161,6277,4.402,0.21
KOI 3425.01,KIC 9117416,,,,89.53,0.199839758295324,0.1557,20.034708,0,KOI 3425,,,,,1.251,2,6120,3.934,0.02
KOI 7776.01,KIC 6356400,,,,89.36,0.28102466010279936,1.098,541.92452,0,KOI 7776,,,,,0.601,0.614,4378,4.64,-0.34
KOI 3425.02,KIC 9117416,,,,89.99,0.1257919907126816,0.0454,3.15722086,0,KOI 3425,,,,,1.251,2,6120,3.934,0.02
KOI 3426.01,KIC 5900235,,,,89.42,0.1400662591623476,0.2893,58.7701045,0,KOI 3426,,,,,0.934,1.013,6158,4.397,-0.44
KOI 3495.02,KIC 9474756,,,,81.09,0.11151772226301562,0.0704,6.685438,0,KOI 3495,,,,,1.038,1.159,5808,4.326,0.16
KOI 3496.02,KIC 7517261,,,,84.06,0.14095840094045176,0.09,8.5433774,0,KOI 3496,,,,,1.333,1.685,6602,4.108,-0.12
KOI 7744.01,KIC 5877292,,,,89.54,0.11954699826595275,0.1052,11.7201693,0,KOI 7744,,,,,1.127,1.067,6193,4.434,0
KOI 3354.01,KIC 9845909,,,,89.1,0.11865485648784863,0.0964,11.5706005,0,KOI 3354,,,,,0.89,0.9,5718,4.479,-0.2
KOI 3355.01,KIC 9221528,,,,88.41,0.14274268449666,0.1264,16.2953228,0,KOI 3355,,,,,1.007,1.013,6187,4.432,-0.24
KOI 7762.01,KIC 6106046,,,,89.55,0.12311556537836923,0.0819,8.5073512,0,KOI 7762,,,,,1.011,0.955,5914,4.483,-0.06
KOI 3429.01,KIC 9230021,,,,88.66,0.1605855200587425,0.1213,15.8283833,0,KOI 3429,,,,,0.95,1.145,5596,4.298,0.14
KOI 3500.01,KIC 6058816,,,,89.83,0.3372295921233592,0.3859,73.7502765,0,KOI 3500,,,,,1.408,2.481,6056,3.797,0.14
KOI 3500.02,KIC 6058816,,,,83.02,0.1400662591623476,0.062,4.7482669,0,KOI 3500,,,,,1.408,2.481,6056,3.797,0.14
KOI 3358.01,KIC 4263529,,,,88.37,0.36131742013217055,0.0876,10.10404351,0,KOI 3358,,,,,0.876,0.831,5530,4.541,-0.14
KOI 3361.01,KIC 6619815,,,,89.7,0.20786903429826112,0.3244,65.9407869,0,KOI 3361,,,,,1.047,0.96,5982,4.493,-0.04
KOI 3430.01,KIC 7697103,,,,89.94,0.08029276002937125,0.1013,13.9248005,0,KOI 3430,,,,,0.718,0.648,5271,4.669,-0.66
KOI 3431.01,KIC 9267996,,,,79.91,0.185565489845658,0.1432,19.6001405,0,KOI 3431,,,,,1.019,0.932,6003,4.507,-0.14
KOI 3433.01,KIC 7093401,,,,89.16,3.2161711100653703,0.1935,34.08429351,0,KOI 3433,,,,,0.83,0.922,5252,4.428,0.1
KOI 3823.01,KIC 4820550,,,,89.71,0.5174422313003925,0.6666,202.1168173,0,KOI 3823,,,,,0.964,0.917,5536,4.498,0.16
KOI 3749.01,KIC 11547869,,,,88.67,1.1464021848638004,0.0612,10.72725536,0,KOI 3749,,,,,0.267,0.268,3324,5.006,0.08
KOI 2093.02,KIC 6525946,,,,86.07,1.0955501035118653,0.033,2.508116,0,KOI 2093,,,,,0.763,8.769,5096,2.435,-1.52
KOI 3680.01,KIC 9025971,,,,89.96,1.0250709030416396,0.5205,141.2415405,0,KOI 3680,,,,,0.941,1.017,5705,4.397,0
KOI 2018.02,KIC 9973109,,,,89.96,0.10170416270387023,0.114,16.0988294,0,KOI 2018,,,,,0.762,0.911,5657,4.401,-0.48
KOI 2055.03,KIC 3128552,,,,89.08,0.13203698315941048,0.0352,2.50475282,0,KOI 2055,,,,,0.924,1.116,5509,4.308,0.16
KOI 3908.01,KIC 10363115,,,,90,0.19894761651721984,0.2987,59.3627946,0,KOI 3908,,,,,1.006,1.471,5786,4.106,-0.02
KOI 3909.01,KIC 5966810,,,,90,0.4228752028213552,0.833,247.891041,0,KOI 3909,,,,,1.257,1.536,6121,4.163,0.16
KOI 7793.01,KIC 6863158,,,,74.27,0.041038521792789745,0.0249,1.99469354,0,KOI 7793,,,,,0.518,0.51,3799,4.738,-0.1
KOI 3681.02,KIC 2581316,,,,85.16,0.11151772226301562,0.1,10.51421162,0,KOI 3681,,,,,1.21,1.167,6259,4.385,0.14
KOI 3761.01,KIC 8308347,,,,88.87,1.0018752168109324,0.5088,164.950399,0,KOI 3761,,,,,0.645,0.664,5001,4.603,-0.58
KOI 3913.01,KIC 10281221,,,,51.38,0.5236872237471213,0.014,0.582895412,0,KOI 3913,,,,,1.068,1.009,6263,4.46,-0.22
KOI 2093.03,KIC 6525946,,,,83.7,0.892141778104125,0.0112,0.496069986,0,KOI 2093,,,,,0.763,8.769,5096,2.435,-1.52
KOI 3689.01,KIC 7017372,,,,86.43,1.136588625304655,0.0607,5.24088367,0,KOI 3689,,,,,1.079,1.305,6452,4.241,-0.28
KOI 2055.04,KIC 3128552,,,,81.36,0.11240986404111974,0.0636,6.13074243,0,KOI 2055,,,,,0.91,0.833,5741,4.556,-0.24
KOI 3925.01,KIC 10788461,,,,85.3,0.4906779779572687,0.0865,9.2075634,0,KOI 3925,,,,,1.015,1.303,5678,4.215,0.2
KOI 7795.01,KIC 6887030,,,,86.92,0.08653775247610011,0.0568,5.44085762,0,KOI 7795,,,,,0.827,0.762,5519,4.59,-0.34
KOI 3767.01,KIC 8323764,,,,87.98,1.3185855480378965,0.0634,6.714247798,0,KOI 3767,,,,,0.752,0.8,5159,4.508,-0.16
KOI 3770.01,KIC 5008245,,,,84.17,0.6521556397941153,0.04,2.60720833,0,KOI 3770,,,,,1.257,1.236,6366,4.352,0.16
KOI 2029.03,KIC 9489524,,,,88.66,0.064234208023497,0.0657,6.8873113,0,KOI 2029,,,,,0.796,0.772,5208,4.563,-0.14
KOI 3777.01,KIC 4075067,,,,80.09,13.081474892340783,0.1904,17.7476059,0,KOI 3777,,,,,2.922,4.832,8992,3.535,0.07
KOI 2059.02,KIC 12301181,,,,87.14,0.039254238236581494,0.0307,2.18565886,0,KOI 2059,,,,,0.806,0.746,4997,4.598,0
KOI 1986.02,KIC 8257205,,,,89.67,0.10794915515059911,0.0692,7.12766417,0,KOI 1986,,,,,0.868,0.821,5159,4.548,0.16
KOI 7796.01,KIC 6891124,,,,89.97,0.08386132714178773,0.0469,3.52364689,0,KOI 7796,,,,,1.106,1.085,6269,4.412,-0.08
KOI 2029.04,KIC 9489524,,,,88.81,0.05620493202055987,0.0515,4.78850084,0,KOI 2029,,,,,0.796,0.772,5208,4.563,-0.14
KOI 3787.01,KIC 7813039,,,,89.88,0.9189060314472487,0.5185,141.73403059,0,KOI 3787,,,,,0.924,0.918,5606,4.478,0
KOI 7785.01,KIC 6531617,,,,89.99,0.18467334806755384,1.0084,433.220461,0,KOI 7785,,,,,0.727,0.777,5232,4.519,-0.32
KOI 3864.01,KIC 4164922,,,,83.56,0.08832203603230837,0.0203,1.210693626,0,KOI 3864,,,,,0.756,0.756,5014,4.559,-0.1
KOI 2061.02,KIC 12061969,,,,83.71,0.092782744922829,0.0197,1.090011003,0,KOI 2061,,,,,0.864,0.77,5081,4.596,0.12
KOI 3864.02,KIC 4164922,,,,89.37,0.08386132714178773,0.1236,18.2572722,0,KOI 3864,,,,,0.756,0.756,5014,4.559,-0.1
KOI 3791.01,KIC 5437945,,,,89.84,0.6450185055692823,1.1455,440.7843755,0,KOI 3791,,,,,1.031,1.393,6340,4.163,-0.38
KOI 3722.01,KIC 8365739,,,,,,,2.38920105,,KOI 3722,,,,,,,,,
KOI 3801.01,KIC 8827930,,,,89.92,1.1785192888755491,0.846,288.3128666,0,KOI 3801,,,,,0.969,1.22,5672,4.252,0.1
KOI 3876.01,KIC 3440118,,,,89.3,0.17485978850840847,0.1409,19.57783279,0,KOI 3876,,,,,0.971,0.884,5620,4.533,0.06
KOI 7791.01,KIC 6790592,,,,89.98,20.684307125344137,0.4546,106.18732,0,KOI 7791,,,,,1.11,152.969,3287,0.114,-0.1
KOI 416.03,KIC 6508221,,,,88.27,0.06958705869212174,0.0834,9.74765878,0,KOI 416,,,,,0.826,0.738,5176,4.612,-0.18
KOI 7798.01,KIC 6952971,,,,89.73,0.19181048229238684,0.9485,309.89103,0,KOI 7798,,,,,1.183,1.155,6450,4.386,-0.08
KOI 3880.01,KIC 4147444,,,,87.1,0.08921417781041249,0.0296,1.803697292,0,KOI 3880,,,,,1.054,1.166,6438,4.33,-0.26
KOI 3810.01,KIC 5769943,,,,77.34,1.6584915654955683,0.0147,1.013774136,0,KOI 3810,,,,,0.412,0.389,3644,4.871,-0.3
KOI 3811.01,KIC 4638237,,,,89.9,1.0331001790445766,0.8431,290.1401717,0,KOI 3811,,,,,0.947,1.263,5631,4.212,0.07
KOI 2004.03,KIC 12154526,,,,80.25,0.06244992446728874,0.0288,1.72110057,0,KOI 2004,,,,,1.071,1.176,5700,4.327,0.34
KOI 3815.01,KIC 6507433,,,,87.66,0.6485870726816988,0.0579,4.7425521,0,KOI 3815,,,,,1.15,1.053,6161,4.454,0.07
KOI 3891.01,KIC 8765560,,,,85.88,7.046135763466379,0.2648,47.1096306,0,KOI 3891,,,,,1.115,2.78,5258,3.597,-0.42
KOI 3741.02,KIC 8780959,,,,89.15,0.121331281822161,0.1402,18.577903,0,KOI 3741,,,,,1.06,1.345,6432,4.207,-0.34
KOI 1666.01,KIC 5008501,,,,89.7,0.15880123650253425,0.0207,0.968026356,0,KOI 1666,,,,,1.26,1.193,6469,4.385,0.07
KOI 1670.01,KIC 5184709,,,,89.55,0.18110478095513735,0.0986,10.57910009,0,KOI 1670,,,,,1.14,1.093,6323,4.418,-0.08
KOI 1671.01,KIC 5195172,,,,89.28,0.08653775247610011,0.0257,1.480283464,0,KOI 1671,,,,,1.026,1.259,5897,4.25,0.02
KOI 7849.01,KIC 7778664,,,,88.78,0.07493990936074649,0.0551,5.0263815,0,KOI 7849,,,,,0.885,0.962,5783,4.418,-0.24
KOI 2158.02,KIC 5211199,,,,83.1,0.1864576316237621,0.0764,6.68231249,0,KOI 2158,,,,,1.33,2.506,5343,3.764,0.08
KOI 7850.01,KIC 7834712,,,,89.91,0.26764253343123745,0.3322,66.119119,0,KOI 7850,,,,,1.116,1.028,5828,4.462,0.32
