NAME,OTHERNAME,PLANETDISCMETH,DATE,MSINI,I,R,A,PER,ECC,STAR,V,VURL,VREF,DIST,MSTAR,RSTAR,TEFF,LOGG,FE
,,,,mjupiter,deg,rjupiter,au,day,,,,,,pc,msun,rsun,k,,
Kepler-107 d,KOI-117,Transit,2014,,,0.095459,0.0780099,7.958203,,Kepler-107,,,,,,1.411,5851,4.196,
Kepler-1049 b,,Transit,2016,,,0.085,0.0344721,3.27346074,0,Kepler-1049,,,,129,0.51,0.49,3864,4.77,-0.33
Kepler-813 b,,Transit,2016,,,0.191,0.13761,19.12947337,0,Kepler-813,,,,840,0.95,0.93,5743,4.48,-0.13
Kepler-427 b,KOI-192 b,Transit,2010,0.310432,89.5,1.23,0.091351,10.290994,0,Kepler-427,14.42,,,1100,0.96,1.35,5800,4.14,-0.19
Kepler-1056 b,,Transit,2016,,,0.269,0.185149,27.495606,0,Kepler-1056,,,,971,1.12,1.2,6127,4.33,0.02
Kepler-1165 b,,Transit,2016,,,0.138,0.0912977,9.478522,0,Kepler-1165,,,,1081,1.13,1.18,6080,4.34,0.05
Kepler-1104 b,,Transit,2016,,,0.11,0.0627651,5.03728015,0,Kepler-1104,,,,516,1.3,1.41,6417,4.25,0.13
WASP-14 b,2MASS J14330635+2153409,Transit,2009,7.65457,84.32,1.281,0.0367693,2.243752,0.091,WASP-14,9.75,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,160,1.31,1.31,6475,4.07,0
Kepler-50 b,KOI-262,Transit,2011,,,0.196096,0.0825598,7.8125124,,Kepler-50,10.54,,,,1.23,1.88,6058,3.98,
NN Ser d,2MASS J15525613+1254446,Timing,2010,0.642621,,,3.70596,2605,0.05,NN Ser,16.672,,,,,,,,
WASP-105 b,,Transit,2017,1.75919,89.7,0.981089,0.0745473,7.87288,0,WASP-105,12.1,,,,0.89,0.9,5070,4.2,0.28
GJ 625 b,,RV,2017,0.0089295,,,0.0783624,14.628,0.13,GJ 625,10.17,,,6.49,0.3,0.31,3499,4.94,-0.38
Kepler-1279 b,,Transit,2016,,,0.156,0.170989,23.4774101,0,Kepler-1279,,,,1017,1.21,1.33,6221,4.26,0.06
Kepler-1599 b,,Transit,2016,,,0.145,0.48075,122.363553,0,Kepler-1599,,,,1004,0.99,0.99,5767,4.45,0.02
Kepler-20 b,KOI-70,Transit,2011,0.0266149,86.5,0.170247,0.0453704,3.6961219,0,Kepler-20,12.51,,,290,0.912,0.944,5466,4.4,0.02
HAT-P-27 b,WASP-40,Transit,2011,0.615135,85,1.02,0.0399488,3.039577,0,HAT-P-27,12.2,http://adsabs.harvard.edu/abs/2011PASP..123..555A,Anderson 2011,204,0.92,0.87,5190,4.5,0.14
Kepler-181 b,KOI-543,Transit,2014,,,0.113302,0.0419466,3.137873,,Kepler-181,,,,,,0.749,5333,4.619,
HD 116029 b,2MASS J13203954+2438555,RV,2011,1.9075,,,1.64869,670,0,HD 116029,8.04,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,123.198,1.33,5.04235,4811,3.21,0.08
Kepler-207 b,KOI-665,Transit,2014,,,0.140066,0.0269045,1.611865,,Kepler-207,,,,,,1.588,5920,4.129,
Kepler-1156 b,,Transit,2016,,,0.118,0.101981,11.89520511,0,Kepler-1156,,,,759,1,1,5778,4.44,0.02
Kepler-1512 b,,Transit,2016,,,0.105,0.13139,20.35972599,0,Kepler-1512,,,,162,0.73,0.67,4372,4.64,0.2
Kepler-787 b,,Transit,2016,,,0.114,0.0161327,0.9283105,0,Kepler-787,,,,468,0.65,0.62,4248,4.67,-0.09
Kepler-528 b,,Transit,2016,,,0.186,0.143629,19.78297415,0,Kepler-528,,,,711,1.01,1.06,5807,4.39,0.02
HD 219828 b,,RV,2007,0.0622185,,,0.0515012,3.8334999,0,HD 219828,8.04,,,72.3066,1.24,1.4682,5891,4.18,0.19
Kepler-480 b,,Transit,2016,,,0.248,0.0609811,4.9195838,0,Kepler-480,,,,806,1.25,1.34,6322,4.28,0.11
Kepler-1567 b,,Transit,2016,,,0.244,0.5527,153.979578,0,Kepler-1567,,,,1226,0.95,0.93,5655,4.49,-0.03
HD 3167 b,EPIC 220383386,Transit,2016,0.0157857,83.4,,0.0181491,0.959641,0,HD 3167,8.94,,,45.8,0.866,,5261,4.47,0.04
Kepler-1390 b,,Transit,2016,,,0.105,0.0675681,6.48021673,0,Kepler-1390,,,,760,0.98,0.98,5753,4.45,-0.01
Kepler-1642 b,,Transit,2016,,,0.285,0.0994208,12.2057513,0,Kepler-1642,,,,447,0.88,0.84,5355,4.54,-0.01
Kepler-11 c,KOI-157,Transit,2011,,89.59,0.255816,0.106909,13.0241,0.0256125,Kepler-11,,,,,0.961,1.065,5663,4.366,0.0182
Kepler-871 b,,Transit,2016,,,0.334,0.159318,22.0459018,0,Kepler-871,,,,1695,1.11,1.14,5993,4.37,0.09
Kepler-1131 b,,Transit,2016,,,0.142,0.0458416,3.53232449,0,Kepler-1131,,,,1109,1.03,1.04,5851,4.42,0.05
Kepler-705 b,,Transit,2016,,,0.188,0.231978,56.0560538,0,Kepler-705,,,,251,0.53,0.51,3722,4.75,0.07
HD 1237 b,GJ 3021,RV,2001,3.3748,,,0.494668,133.71001,0.511,HD 1237,6.59,,,17.4978,0.9,0.858011,5536,4.56,0.12
WASP-21 b,2MASS J23095825+1823459,Transit,2010,0.300201,88.75,1.07,0.0521087,4.322482,0,WASP-21,11.58,,,242.131,1.01,1.06,5800,4.2,-0.46
Kepler-284 c,KOI-1301,Transit,2014,,,0.232849,0.219317,37.514456,,Kepler-284,,,,,,0.814,5615,4.58,
Kepler-186 c,KOI-571,Transit,2014,,,0.111418,0.0574114,7.267302,0.03,Kepler-186,,,,151,0.478,0.472,3788,4.77,-0.28
HD 4308 b,,RV,2006,0.0477376,,,0.119192,15.56,0,HD 4308,6.55,,,22.0556,0.933,0.82259,5695,4.58,-0.31
Kepler-239 b,KOI-835,Transit,2014,,,0.207869,0.101225,11.763051,,Kepler-239,,,,,,0.763,4914,4.583,
Kepler-651 b,,Transit,2016,,,0.211,0.146649,21.38521506,0,Kepler-651,,,,537,0.92,0.87,5522,4.53,-0.04
Kepler-80 f,,Transit,2016,,,0.11,0.017386,0.98678706,0,Kepler-80,,,,0,0.72,0.64,4613,4.69,-0.562
Kepler-1217 b,,Transit,2016,,,0.178,0.0320163,2.03232507,0,Kepler-1217,,,,1363,1.06,1.08,5905,4.4,0.07
Kepler-895 b,,Transit,2016,,,0.137,0.0337283,2.80624233,0,Kepler-895,,,,516,0.65,0.61,4315,4.67,-0.16
Kepler-628 b,,Transit,2016,,,0.749,0.121444,15.4580567,0,Kepler-628,,,,579,1,1.28,5721,4.22,0.04
Kepler-408 b,,Transit,2014,0.000699655,,0.075104,0.0366405,2.46502,,Kepler-408,8.83,,,89.0107,1.08,1.23,6104,4.294,-0.2
Kepler-174 b,KOI-518,Transit,2014,,,0.174859,0.113583,13.98179,,Kepler-174,,,,,,0.622,4880,4.679,
Kepler-440 b,KOI-4087,Transit,2010,,89.93,0.165939,0.353207,101.11141,0,Kepler-440,,,,261,0.575,0.559,4134,4.706,-0.3
Kepler-403 d,,Transit,2016,,,0.127,0,13.61159129,0,Kepler-403,,,,0,0,1.33,6090,4.27,-0.145
K2-6 b,EPIC 201384232,Transit,2015,,89.42,0.234976,0.19095,30.9446,,K2-6,,,,343,0.97,0.96,5850,,-0.14
Kepler-224 d,KOI-733,Transit,2014,,,0.205192,0.0988375,11.349393,,Kepler-224,,,,,,0.676,5018,4.639,
Kepler-389 c,KOI-2473,Transit,2014,,,0.130252,0.116434,14.51143,,Kepler-389,,,,,,0.792,5376,4.57,
Kepler-674 b,,Transit,2016,,,0.151,0.0282874,2.24338185,0,Kepler-674,,,,302,0.6,0.57,4192,4.69,-0.27
Kepler-1047 c,,Transit,2016,,,0.088,0.0435026,3.18897601,0,Kepler-1047,,,,566,1.08,1.13,5754,4.37,0.29
Kepler-1247 b,,Transit,2016,,,0.208,0.106621,13.71220213,0,Kepler-1247,,,,1094,0.86,0.82,5303,4.55,-0.05
Kepler-1210 b,,Transit,2016,,,0.152,0.0771394,8.07124073,0,Kepler-1210,,,,1155,0.94,0.92,5568,4.49,0.04
Kepler-254 c,KOI-934,Transit,2014,,,0.19181,0.104915,12.412183,,Kepler-254,,,,,,0.91,5957,4.524,
Kepler-236 c,KOI-817,Transit,2014,,,0.178428,0.162691,23.968127,,Kepler-236,,,,,,0.51,3750,4.753,
WASP-25 b,2MASS J13012637-2731199,Transit,2011,0.578118,88,1.22,0.0473714,3.764825,0,WASP-25,11.88,,,,1,0.92,5750,4.5,-0.05
Kepler-186 d,KOI-571,Transit,2014,,,0.12479,0.0860831,13.342996,0.03,Kepler-186,,,,151,0.478,0.472,3788,4.77,-0.28
Kepler-1646 b,,Transit,2016,,,0.11,0.0330793,4.48558383,0,Kepler-1646,,,,81,0.24,0.26,3299,5.01,0.04
HATS-11 b,EPIC 216414930,Transit,2016,0.846543,89.03,1.54056,0.0461455,3.6191634,0,HATS-11,14.018,,,906,1,1.444,6060,4.118,-0.39
HD 24040 b,,RV,2007,4.02189,,,4.92406,3668,0.04,HD 24040,7.5,,,46.5983,1.18,1.15444,5852.73,4.36138,0.206313
Kepler-359 c,KOI-2092,Transit,2014,,,0.38362,0.292189,57.68802,,Kepler-359,,,,,,1.086,6248,4.429,
Kepler-211 c,KOI-678,Transit,2014,,,0.115086,0.0649112,6.04045,,Kepler-211,,,,,,0.816,5123,4.547,
Kepler-967 b,,Transit,2016,,,0.21,0.103279,13.22713379,0,Kepler-967,,,,499,0.84,0.8,5178,4.56,-0.03
Kepler-1574 b,,Transit,2016,,,0.115,0.0726189,6.9424334,0,Kepler-1574,,,,1275,1.06,1.08,5892,4.4,0.08
Kepler-1157 b,,Transit,2016,,,0.097,0.0483728,4.45743164,0,Kepler-1157,,,,346,0.76,0.71,4679,4.62,0.05
Kepler-549 b,,Transit,2016,,,0.229,0.230006,42.9495649,0,Kepler-549,,,,648,0.88,0.84,5360,4.54,-0.03
Kepler-1510 b,,Transit,2016,,,0.3,0.399998,84.703921,0,Kepler-1510,,,,1615,1.19,1.28,6200,4.29,0.04
HD 59686 A b,,RV,2016,6.91979,,,1.08598,299.36,0.05,HD 59686 A,5.442,,,96.8054,1.9,13.2,4658,2.49,0.15
Kepler-1002 b,,Transit,2016,,,0.153,0.0556094,4.33642933,0,Kepler-1002,,,,425,1.22,1.57,6144,4.13,0.04
Kepler-294 c,KOI-1396,Transit,2014,,,0.24177,0.0690438,6.6264,,Kepler-294,,,,,,0.976,5913,4.491,
Kepler-263 c,KOI-999,Transit,2014,,,0.220359,0.256083,47.332773,,Kepler-263,,,,,,0.785,5265,4.576,
Kepler-349 b,KOI-2022,Transit,2014,,,0.169507,0.0641159,5.929778,,Kepler-349,,,,,,0.927,5956,4.518,
Kepler-1563 b,,Transit,2016,,,0.067,0.0445351,3.43276598,0,Kepler-1563,,,,547,1,0.99,5765,4.45,0.02
Kepler-1611 b,,Transit,2016,,,0.072,0.0573666,5.1762429,0,Kepler-1611,,,,686,0.94,0.93,5605,4.49,0.01
Kepler-1284 b,,Transit,2016,,,0.108,0.0140554,0.66407381,0,Kepler-1284,,,,852,0.84,0.79,5123,4.57,0.03
HD 200964 b,2MASS J21063983+0348110,RV,2011,1.94873,,,1.64347,613.8,0.04,HD 200964,6.64,,,72.2022,1.57,3.80029,5082,3.41,-0.2
Kepler-706 b,,Transit,2016,,,1.175,0.223617,41.40831347,0,Kepler-706,,,,810,0.87,0.84,5394,4.54,-0.06
HD 147018 b,,RV,2010,2.12711,,,0.238855,44.236,0.4686,HD 147018,8.3,,,42.9553,0.927,1.05268,5441,4.38,0.1
HD 218566 b,2MASS J23091067-0215385,RV,2011,0.212872,,,0.687282,225.7,0.3,HD 218566,8.628,,,28.5551,0.85,0.590728,4820,4.81,0.38
HD 45364 b,,RV,2009,0.187149,,,0.68156,226.93,0.1684,HD 45364,8.08,,,32.6904,0.82,1.02464,5434,4.38,-0.17
Kepler-1177 b,,Transit,2016,,,0.17,0.436075,106.247547,0,Kepler-1177,,,,829,0.98,0.97,5712,4.46,0.02
Kepler-1364 b,,Transit,2016,,,0.192,0.125617,13.32196237,0,Kepler-1364,,,,1149,1.49,1.79,6805,4.1,0.04
Kepler-653 b,,Transit,2016,,,0.174,0.118258,14.70748976,0,Kepler-653,,,,593,1.02,1.19,5665,4.29,0.23
Kepler-553 b,,Transit,2016,,,0.413,0.0482066,4.03046804,0,Kepler-553,,,,725,0.92,0.85,5266,4.55,0.21
Kepler-361 b,KOI-2135,Transit,2014,,,0.12936,0.081426,8.486616,,Kepler-361,,,,,,1.343,6169,4.254,
Kepler-318 c,KOI-1779,Transit,2014,,,0.328308,0.101523,11.815007,,Kepler-318,,,,,,1.189,5746,4.325,
WASP-140 b,,Transit,2017,2.4185,83.3,1.23957,0.0323373,2.2359835,0.047,WASP-140,11.1,,,180,0.9,0.87,5300,4.2,0.12
Kepler-372 b,KOI-2195,Transit,2014,,,0.121331,0.0705863,6.849692,,Kepler-372,,,,,,1.137,6509,4.405,
Kepler-197 e,KOI-623,Transit,2014,,,0.0811848,0.168262,25.209715,,Kepler-197,11.78,,,,,1.12,6004,4.304,
HD 141937 b,,RV,2002,9.4752,,,1.50087,653.21997,0.41,HD 141937,7.25,,,32.2997,1.048,1.06384,5846.82,4.41973,0.128642
K2-11 b,EPIC 201596316,Transit,2015,,,1.35591,0.25272,39.93767,0,K2-11,,,,2019,1.35,5.15,5433,,-0.12
Kepler-405 c,KOI-3057,Transit,2014,,,0.415737,0.187804,29.726682,,Kepler-405,,,,,,0.893,5818,4.536,
Kepler-104 d,KOI-111,Transit,2014,,,0.319386,0.271796,51.755394,,Kepler-104,12.73,,,,,1.349,5711,4.105,
Kepler-702 b,,Transit,2016,,,0.818,0.0907551,10.52629406,0,Kepler-702,,,,892,0.9,0.86,5419,4.53,0
Kepler-26 d,KOI-250,Transit,2014,,,0.095459,0.0454914,3.543919,,Kepler-26,,,,,,0.571,4486,4.733,
Kepler-159 b,KOI-448,Transit,2014,,,0.212329,0.0916828,10.139623,,Kepler-159,,,,,,0.663,4625,4.653,
HD 156668 b,,RV,2011,0.0130582,,,0.0499846,4.6455,0,HD 156668,8.424,,,24.4738,0.772,0.728691,4850,4.598,0.05
Kepler-1045 b,,Transit,2016,,,0.24,0.165053,26.41045478,0,Kepler-1045,,,,971,0.86,0.82,5301,4.55,-0.03
Kepler-905 b,,Transit,2016,,,0.126,0.0568739,5.08274652,0,Kepler-905,,,,521,0.95,0.86,5461,4.55,0.09
Kepler-763 b,,Transit,2016,,,0.109,0.0208123,1.19655156,0,Kepler-763,,,,902,0.84,0.8,5166,4.57,0.01
Kepler-1376 b,,Transit,2016,,,0.094,0.059158,5.30880656,0,Kepler-1376,,,,864,0.98,0.97,5659,4.46,0.07
Kepler-32 f,KOI-952,Transit,2012,,,0.0730903,0.0130732,0.74296,0,Kepler-32,,,,303,0.54,0.53,3793,4.64,-0.01
WASP-103 b,2MASS16371556+0711000,Transit,2014,1.48481,86.3,1.528,0.0198682,0.925542,0,WASP-103,12.1,,,470,1.22,1.436,6110,4.22,0.06
Kepler-990 c,,Transit,2016,,,0.136,0.0131638,0.53835431,0,Kepler-990,,,,933,1.05,1.08,5948,4.39,0.01
WASP-131 b,,Transit,2017,0.272434,85,1.24159,0.0608315,5.322023,0,WASP-131,10.1,,,250,1.06,1.53,5950,3.9,-0.18
Kepler-221 e,KOI-720,Transit,2014,,,0.234633,0.136253,18.369917,,Kepler-221,,,,,,0.821,5243,4.543,
Kepler-1028 b,,Transit,2016,,,0.119,0.0349411,2.51462432,0,Kepler-1028,,,,633,0.9,0.87,5522,4.52,-0.09
Kepler-256 c,KOI-939,Transit,2014,,,0.19181,0.0441473,3.38802,,Kepler-256,,,,,,1.301,5551,4.223,
GJ 649 b,,RV,2010,0.325341,,,1.13179,598.3,0.3,GJ 649,9.7165,,,10.3445,0.54,,3700,,0.08
Kepler-1333 b,,Transit,2016,,,0.251,0.439185,109.6471842,0,Kepler-1333,,,,958,0.94,0.92,5628,4.49,-0.04
Kepler-276 b,KOI-1203,Transit,2014,,,0.256044,0.114376,14.12841,,Kepler-276,,,,,,1.046,6105,4.453,
Kepler-1042 b,,Transit,2016,,,0.195,0.0832577,10.13202575,0,Kepler-1042,,,,659,0.75,0.72,4815,4.61,-0.1
Kepler-264 c,KOI-1001,Transit,2014,,,0.252476,0.52792,140.101261,,Kepler-264,,,,,,1.55,6158,4.147,
HD 132406 b,,RV,2007,5.60495,,,1.98227,974,0.34,HD 132406,8.45,,,67.8887,1.09,,5885,,0.18
Kepler-143 b,KOI-352,Transit,2014,,,0.215006,0.124306,16.007583,,Kepler-143,,,,,,1.359,5848,4.202,
Kepler-1225 b,,Transit,2016,,,0.162,0.0746694,7.01075434,0,Kepler-1225,,,,1241,1.13,1.19,6140,4.34,0.01
Kepler-189 c,KOI-574,Transit,2014,,,0.212329,0.144846,20.134866,,Kepler-189,,,,,,0.75,5235,4.619,
HD 38529 c,,RV,2003,12.2603,,,3.6002,2146.0503,0.355094,HD 38529,5.95,,,39.2773,1.34,2.02418,5674,3.94,0.4
Kepler-62 b,KOI-701,Transit,2011,,89.2,0.116766,0.0552794,5.714932,0.0707107,Kepler-62,13.8,,,368,0.69,0.64,4925,4.68,-0.37
Kepler-281 b,KOI-1258,Transit,2014,,,0.251584,0.117153,14.646008,,Kepler-281,,,,,,0.899,5723,4.531,
Kepler-1006 b,,Transit,2016,,,0.137,0.13168,19.76172042,0,Kepler-1006,,,,496,0.78,0.74,5328,4.59,-0.4
Kepler-196 c,KOI-612,Transit,2014,,,0.199839,0.256426,47.427737,,Kepler-196,,,,,,0.782,5128,4.566,
Kepler-238 c,KOI-834,Transit,2014,,,0.213222,0.0657332,6.155557,,Kepler-238,,,,,,1.43,5751,4.194,
Kepler-49 c,KOI-248,Transit,2011,,,0.227293,0.07889,10.9129343,,Kepler-49,,,,,0.55,0.53,3974,4.73,
Kepler-55 c,KOI-904,Transit,2013,,,0.196987,0.202122,42.1516418,,Kepler-55,,,,,0.62,0.58,4362,4.7,
Kepler-791 b,,Transit,2016,,,0.272,0.127324,14.5539759,0,Kepler-791,,,,1447,1.3,1.47,6383,4.21,0.06
WASP-19 b,2MASS J09534008-4539330,Transit,2010,1.11405,79.4,1.386,0.0163152,0.78884,0.0046,WASP-19,12.59,,,,0.93,0.99,5500,4.5,0.02
Kepler-310 d,KOI-1598,Transit,2014,,,0.220359,0.401368,92.876125,,Kepler-310,,,,,,0.876,5797,4.521,
Kepler-619 c,,Transit,2016,,,0.151,0.022851,1.20846503,0,Kepler-619,,,,1111,1.09,1.11,5980,4.38,0.05
Kepler-204 c,KOI-661,Transit,2014,,,0.159693,0.170262,25.660593,,Kepler-204,,,,,,1.238,5812,4.269,
Kepler-26 b,KOI-250,Transit,2011,,,0.320884,0.0902469,12.282356,0,Kepler-26,,,,,0.65,0.59,3933,4.5,-0.21
Kepler-374 c,KOI-2220,Transit,2014,,,0.0981354,0.0432285,3.282807,,Kepler-374,,,,,,0.911,5977,4.479,
Kepler-395 b,KOI-2650,Transit,2014,,,0.0918904,0.0719854,7.054346,,Kepler-395,,,,,,0.556,4262,4.729,
WASP-93 b,,Transit,2016,1.42669,81.18,1.1048,0.0417621,2.7325321,0,WASP-93,11.09,,,250,1.3,1.06,6700,4.5,0.07
K2-16 b,EPIC 201754305,Transit,2015,,87.97,0.18364,0.0666347,7.6188,,K2-16,14.65,,,338.192,0.68,0.66,4742,4.51,-0.33
HD 126614 A b,,RV,2010,0.385706,,,2.36847,1244,0.41,HD 126614 A,8.81,,,72.6216,1.145,1.10978,5585,4.39,0.56
Kepler-875 b,,Transit,2016,,,0.259,0.181834,27.5073799,0,Kepler-875,,,,1244,1.06,1.11,5958,4.38,0.03
Kepler-1508 b,,Transit,2016,,,0.119,0.154158,20.7056504,0,Kepler-1508,,,,892,1.14,1.22,6158,4.32,0.01
Kepler-1568 b,,Transit,2016,,,0.116,0.152944,20.925392,0,Kepler-1568,,,,883,1.09,1.19,5956,4.32,0.09
Kepler-80 e,KOI-500,Transit,2014,,,0.146311,0.0544864,4.645387,,Kepler-80,,,,,,0.637,4613,4.69,
Kepler-83 d,KOI-898,Transit,2014,,,0.173075,0.0585134,5.169796,,Kepler-83,,,,,,0.594,4648,4.718,
Kepler-519 b,,Transit,2016,,,0.187,0.157968,24.3078946,0,Kepler-519,,,,234,0.89,0.8,5260,4.58,0.01
Kepler-192 d,,Transit,2016,,,0.091,0,6.47027579,0,Kepler-192,,,,0,0,1.01,5479,4.43,-0.153
Kepler-167 b,KOI-490,Transit,2014,,,0.12936,0.0481157,4.393147,,Kepler-167,,,,330,0.77,0.726,4890,4.61,-0.03
HD 215152 b,,RV,2018,0.00572025,,,0.0576393,5.75999,0,HD 215152,6.45,,,21.6263,0.77,0.73,4935,4.4,-0.1
Kepler-772 b,,Transit,2016,,,0.162,0.107432,12.99207337,0,Kepler-772,,,,689,0.98,1.11,5714,4.33,0.03
Kepler-295 d,KOI-1413,Transit,2014,,,0.121331,0.204929,33.884054,,Kepler-295,,,,,,0.898,5603,4.444,
Kepler-337 b,KOI-1929,Transit,2014,,,0.13739,0.043316,3.292781,,Kepler-337,,,,,,1.761,5684,4.004,
HIP 67537 b,,RV,2017,,,,4.9058,2556.5,0.59,HIP 67537,6.431,,,112.6,2.41,8.69,4985,2.85,0.15
HD 177830 b,,RV,2000,1.31967,,,1.13872,410.1,0.096,HD 177830,7.18,,,59.0319,1.17,3.99397,4752,3.37,0.3
Kepler-516 b,,Transit,2016,,,0.512,0.195757,24.85462415,0,Kepler-516,12.12,,,777,1.62,2.02,7099,4.04,0.01
Kepler-1562 b,,Transit,2016,,,0.317,0.316103,64.2737752,0,Kepler-1562,,,,1315,1.02,1.05,5760,4.41,0.11
Kepler-226 d,KOI-749,Transit,2014,,,0.108841,0.0789926,8.109044,,Kepler-226,,,,,,0.802,5571,4.586,
K2-99 b,EPIC 212803289,Transit,2017,0.974675,87.7,1.30151,0.158693,18.249,0.19,K2-99,11.15,,,526.759,1.6,3.1,5990,3.67,0.2
HD 42012 b,,RV,2017,1.6121,,,1.66108,857.5,0,HD 42012,8.44,,,37.1195,0.83,0.82,5405,4.45,-0.09
HD 38283 b,2MASS J05370199-7341574,RV,2011,0.338157,,,1.02382,363.2,0.41,HD 38283,6.696,,,38.3142,1.085,1.50465,5998,4.15,-0.12
Kepler-386 b,KOI-2442,Transit,2014,,,0.124008,0.104341,12.31043,,Kepler-386,,,,,,0.767,5178,4.558,
Kepler-922 b,,Transit,2016,,,0.127,0.0184414,0.93846683,0,Kepler-922,,,,558,0.95,0.93,5671,4.48,-0.05
HD 217786 b,2MASS J23030822-0025465,RV,2011,13.1868,,,2.3791,1319,0.4,HD 217786,7.9103,,,54.8546,1.02,1.15058,5966,4.35,-0.135
Kepler-363 c,KOI-2148,Transit,2014,,,0.150772,0.0752686,7.542427,,Kepler-363,,,,,,1.485,5593,4.152,
Kepler-687 b,,Transit,2016,,,0.314,0.134386,20.50586978,0,Kepler-687,,,,628,0.77,0.73,4841,4.6,-0.04
Kepler-1457 b,,Transit,2016,,,0.178,0.270431,51.1110243,0,Kepler-1457,,,,728,1.01,1.01,5866,4.43,-0.05
CoRoT-24 c,,Transit,2014,0.0872135,89,0.427902,0.0980725,11.759,0,CoRoT-24,,,,600,0.91,0.86,4950,4.55,0.3
Kepler-567 b,,Transit,2016,,,0.201,0.119888,16.54297375,0,Kepler-567,,,,568,0.84,0.79,5148,4.57,0
Kepler-1453 b,,Transit,2016,,,0.238,0.252883,47.1611696,0,Kepler-1453,,,,1284,0.97,0.94,5665,4.48,0.01
Kepler-24 d,KOI-1102,Transit,2014,,,0.148987,0.0513038,4.244384,,Kepler-24,,,,,,1.289,5897,4.2,
HD 32518 b,,RV,2009,3.34549,,,0.595162,157.54,0.01,HD 32518,6.436,,,120.627,1.13,24.3641,4580,2.1,-0.15
Kepler-980 b,,Transit,2016,,,0.238,0.101644,11.55102504,0,Kepler-980,,,,804,1.05,1.06,5935,4.41,0.01
Kepler-472 b,,Transit,2016,,,0.287,0.048077,4.17625551,0,Kepler-472,,,,302,0.85,0.78,4996,4.59,0.16
Kepler-402 c,KOI-2722,Transit,2014,,,0.139174,0.0655142,6.124821,,Kepler-402,,,,,,1.264,6090,4.278,
Kepler-435 b,,Transit,2010,0.854333,85.51,1.99,0.0948432,8.6001536,0.114,Kepler-435,13.91,,,2070,1.538,3.21,6090,3.5,-0.17
WASP-18 b,HD 10069,Transit,2009,10.0636,80.6,1.267,0.0201401,0.9414529,0.00848,WASP-18,9.3927,,,99.4036,1.22,1.216,6400,4.367,0
HD 145934 b,,RV,2015,2.28382,,,4.6069,2730,0.053,HD 145934,8.49,,,229.353,1.748,5.38,,3.23,
CoRoT-6 b,2MASS J18441740+0639474,Transit,2010,2.95325,89.07,1.166,0.0854177,8.886593,0,CoRoT-6,13.912,,,,1.05,1.025,6090,4.44,-0.2
Kepler-127 c,KOI-271,Transit,2014,,,0.237309,0.186396,29.393195,,Kepler-127,11.75,,,,,1.359,6106,4.265,
Kepler-839 b,,Transit,2016,,,0.229,0.235594,37.8144514,0,Kepler-839,,,,833,1.22,1.31,6058,4.29,0.29
Kepler-203 c,KOI-658,Transit,2014,,,0.220359,0.0600193,5.370647,,Kepler-203,,,,,,1.114,5821,4.358,
Kepler-1234 b,,Transit,2016,,,0.251,0.0949095,11.94014029,0,Kepler-1234,,,,866,0.8,0.76,4967,4.59,0.01
Kepler-1127 b,,Transit,2016,,,0.175,0.0575745,5.12330347,0,Kepler-1127,,,,996,0.97,0.95,5664,4.47,0.04
Kepler-732 c,,Transit,2016,,,0.113,0.0143082,0.89304124,0,Kepler-732,,,,150,0.49,0.46,3631,4.79,-0.01
HD 73267 b,,RV,2009,3.06257,,,2.19849,1260,0.256,HD 73267,8.9,,,54.2005,0.89,1.16642,5317,4.28,0.03
HD 147513 b,,RV,2004,1.17965,,,1.30958,528.40002,0.26,HD 147513,5.37,,,12.7779,1.072,0.850084,5929.74,4.61193,0.0891888
K2-28 b,EPIC 206318379,Transit,2016,,88.9,0.211187,0.0214313,2.260455,0,K2-28,15.81,,,53,0.257,0.288,3214,4.93,0.26
Kepler-1528 b,,Transit,2016,,,0.13,0.0291497,1.79111021,0,Kepler-1528,,,,916,1.03,1.03,5857,4.43,0.03
Kepler-893 b,,Transit,2016,,,0.27,0.0670296,6.33855761,0,Kepler-893,,,,1216,1,0.99,5820,4.45,-0.03
Kepler-1387 b,,Transit,2016,,,0.083,0.0317279,2.27952666,0,Kepler-1387,,,,491,0.82,0.77,5046,4.58,0.02
Kepler-1062 b,,Transit,2016,,,0.157,0.0786582,9.30412078,0,Kepler-1062,,,,388,0.75,0.7,4597,4.62,0.11
HD 72659 b,,RV,2003,3.1741,,,4.75375,3658,0.22,HD 72659,7.46,,,49.8256,1.068,1.34287,5919.51,4.2359,-0.00448106
K2-29 b,WASP-152,Transit,2016,0.361551,86.656,1.21422,0.0421448,3.2588321,0.066,K2-29,12.56,,,185,0.94,0.86,5358,4.54,0.16
BD +14 4559 b,,RV,2009,1.51929,,,0.775866,268.94,0.29,BD +14 4559,9.63,,,48.3559,0.86,0.725686,4814,4.6,0.1
HD 1605 b,,RV,2015,0.96903,,,1.48605,577.9,0.078,HD 1605,7.52,,,84.6,1.31,3.8,4757,3.4,0.21
Kepler-79 b,KOI-152,Timing,2013,,,0.316,0.114456,13.485,0.015,Kepler-79,13.99,,,,1.1,1.1,6187,4.42,-0.263
